time,flux,flux_err,quality
1336.4324983570823,15397.050561918893,3.9542685473704036,0
1336.4533315694705,15385.172010166261,3.9531880004295554,0
1336.4741647797919,15362.263462976298,3.951649229222411,0
1336.4949979879468,15463.348400666026,3.9609862979162807,0
1336.5158311938635,15441.712626026821,3.95972807795762,0
1336.5366643975017,15375.785126597408,3.952228812080747,0
1336.5574975988466,15346.972164666977,3.95080148881432,0
1336.5783307979123,15330.792216877177,3.9486891356496376,0
1336.619997189416,15261.96058679127,3.9406568610637476,0
1336.6408303820258,15255.519435828563,3.9386501912446366,0
1336.6616635726982,15245.55074823706,3.937254963357459,0
1336.6824967615812,15206.168345728096,3.9354192244508117,0
1336.744996319259,13328.146423749871,3.754463894694836,0
1336.7658295028266,13595.448660755172,3.7794507746940806,0
1336.7866626855873,14411.760193745758,3.861239772358887,0
1336.8074958677653,15070.299498201734,3.9240435868193497,0
1336.8283290495826,15140.73133816322,3.929540109998691,0
1336.8491622312574,15137.102445262106,3.9283801116587225,0
1336.8699954129986,15116.251813710158,3.926668571666745,0
1336.8908285950042,15114.426481377233,3.926513836009207,0
1336.911661777459,15106.976641398074,3.9254921403396117,0
1336.9324949605293,15088.636765390078,3.9248464885383045,0
1336.9533281443598,15085.446185944244,3.9233596554382353,0
1336.9741613290719,15088.682358407272,3.923375950037678,0
1336.9949945147607,15095.168463854761,3.922834681692309,0
1337.0158277014966,15098.307466470593,3.9224250434335244,0
1337.0366608893207,15080.877885545722,3.9218608116941915,0
1337.0574940782442,15079.360318605359,3.9218790227177873,0
1337.0783272682488,15085.831618000359,3.922126037230663,0
1337.099160459288,15077.36350456133,3.920312946543054,0
1337.119993651288,15082.122668139311,3.920122039808644,0
1337.1408268441496,15077.62971866892,3.919296273648482,0
1337.1616600377429,15079.560337070827,3.918742140620623,0
1337.1824932319228,15058.8950299204,3.917640890055519,0
1337.2241596213382,15043.457488200258,3.916150459384566,0
1337.2449928161889,15035.819171964085,3.9147239010122536,0
1337.2658260108542,15033.223883727773,3.913298980686431,0
1337.2866592051162,15025.619220801264,3.912447528631986,0
1337.307492398752,15019.45118239173,3.912083167199248,0
1337.32832559154,15015.603054525858,3.910983208737067,0
1337.3699919737137,15006.118951084696,3.909959506135535,0
1337.3908251626913,15017.259951435855,3.9108121819103343,0
1337.4116583500154,15034.927123264746,3.911544526678979,0
1337.4324915355196,14996.721984657035,3.908960120395659,0
1337.515824256838,13379.917762376479,3.7523030242520705,0
1337.536657431592,14462.346061145437,3.85748705845094,0
1337.5574906040517,15103.72432940815,3.9191153912647745,0
1337.5783237742369,15154.702091659188,3.9229679522485235,0
1337.5991569421974,15190.931157219731,3.9255681800905653,0
1337.6199901080083,15207.720107960558,3.9280968958305276,0
1337.640823271772,15229.261368355808,3.9305506245610626,0
1337.661656433614,15251.430568080366,3.9333434607724294,0
1337.7033227521638,15303.443053088726,3.9389147601023775,0
1337.7241559092304,15357.670508844902,3.9419400881021662,0
1337.7658222199498,15419.179244068653,3.9460349601757225,0
1337.8699879870235,15355.580391067413,3.9509416202918035,0
1337.8908211404903,15358.301006376118,3.950081417860759,0
1337.9116542944278,15343.632170441368,3.9497941642183045,0
1337.9324874489998,15334.13871566798,3.9487682485536144,0
1337.9533206043502,15336.827755348562,3.9485401830843356,0
1337.9741537605964,15311.22682874718,3.946600164712032,0
1337.9949869178306,15304.070548857642,3.9459330646710202,0
1338.0158200761189,15278.32016931586,3.9431547921455463,0
1338.036653235496,15267.62492750292,3.941771327786423,0
1338.0574863959712,15240.904646636443,3.939757475777309,0
1338.0783195575232,15231.710196118152,3.938360431490372,0
1338.0991527201038,15206.188050862458,3.935810718258714,0
1338.1199858836321,15205.373141690348,3.9345463941144865,0
1338.140819048006,15189.512502017753,3.933494904724243,0
1338.1616522130946,15163.027364195752,3.9317559312037837,0
1338.1824853787468,15046.214693684089,3.919989081140682,0
1338.20331854479,14318.47516272125,3.8506330390001713,0
1338.224151711036,13499.006177895188,3.7700336388347586,0
1338.2449848772821,13329.609664345886,3.7537920852115922,0
1338.2658180433154,13959.295332537744,3.815423275639751,0
1338.286651208915,14814.13873314222,3.897996639597368,0
1338.3074843738602,15107.734528736575,3.9254227906354706,0
1338.3283175379288,15102.965834701123,3.9254174609561887,0
1338.3491507009037,15073.329869058942,3.9231424088522555,0
1338.36998386258,15069.174145593566,3.9219180993831326,0
1338.3908170227587,15061.094884973609,3.9213178331957774,0
1338.4116501812596,15063.170869379446,3.92090606308667,0
1338.4324833379212,15047.556780243414,3.920764547415897,0
1338.453316492603,15051.383091341113,3.920548222199146,0
1338.4741496451873,15034.614011688225,3.919738288157423,0
1338.4949827955845,15035.60229522584,3.9199877991428678,0
1338.5158159437294,15055.186155910782,3.920964917181087,0
1339.6824711082006,14554.437691464052,3.880719601360788,0
1339.703304205762,13686.364782995215,3.7959715441393063,0
1339.7241373019644,13151.69043781145,3.742260356822996,0
1339.7449703970133,13448.257494761505,3.7718320209247893,0
1339.765803491124,14279.485706651274,3.8536416829251783,0
1339.786636584517,14895.221179076378,3.9131917879674214,0
1339.8074696774136,14958.550322940418,3.918408069720639,0
1339.8283027700356,14943.032895844239,3.9172829506044105,0
1339.8491358625986,14951.349006236675,3.9179606062023837,0
1339.8699689553087,14949.822634746877,3.9189772976507085,0
1339.8908020483566,14947.376917644293,3.919635608295847,0
1339.9116351419218,14948.852457430106,3.9209640820472385,0
1339.9324682361616,14960.676833777703,3.9232988356587692,0
1339.953301331213,14963.529269121173,3.9257044950734614,0
1339.9741344271863,14961.382813875274,3.9289183992117236,0
1339.994967524169,14978.985977030454,3.9360710807763213,0
1340.0158006222175,14980.230397826299,3.9412695602971484,0
1340.036633721361,14989.257907833298,3.947586420265612,0
1340.057466821601,14993.801584083727,3.9528295968245644,0
1340.0782999229084,15015.823804465495,3.957788601105495,0
1340.099133025226,15000.621007742835,3.9599493108877395,0
1340.1199661284677,15010.726625932428,3.9618990726013426,0
1340.1407992325228,15008.062937429811,3.963625310081256,0
1340.1616323372557,15010.388001504405,3.9655735565648507,0
1340.18246544251,15001.955580298109,3.967604404222344,0
1340.2032985481076,15006.360451431881,3.970966058329532,0
1340.224131653857,15001.411913924983,3.9728774831530225,0
1340.2449647595504,15004.844281736776,3.9765483672334936,0
1340.265797864976,15014.956295612628,3.980616418908912,0
1340.286630969911,15012.952983804858,3.9841885046228116,0
1340.3074640741331,15017.162512881903,3.987745514324952,0
1340.3282971774222,15034.487426170826,3.9919729688375796,0
1340.3491302795628,15048.15586471179,3.9961096846261874,0
1340.369963380351,15048.6994064405,3.9988959304920266,0
1340.3907964795949,15064.492833552631,4.0027781455732105,0
1340.4116295771173,15019.090323618182,4.001679757882901,0
1340.4324626727612,14259.088582821601,3.9333995564701287,0
1340.4532957663944,13194.44103797047,3.835107473668198,0
1340.474128857904,12778.986424468469,3.7977123789199245,0
1340.4949619472081,13413.157515883839,3.8643120517736933,0
1340.515795034249,14534.329671349014,3.9749705494983285,0
1340.5366281190004,15112.482970294921,4.03310282400074,0
1340.5574612014627,15148.26226586669,4.0380057422650015,0
1340.6199604355681,15184.20995558167,4.043041846863064,0
1340.6407935094637,15214.159839388652,4.04467214737202,0
1340.6616265814953,15227.331323992528,4.045583433263014,0
1340.6824596518238,15246.767890648825,4.046215474024435,0
1340.7032927206287,15265.715394762203,4.048154255003155,0
1340.724125788101,15277.003144715869,4.049699692276903,0
1340.7449588544496,15298.082872404542,4.052595764915106,0
1340.7657919198882,15300.825812427494,4.055416463361646,0
1340.786624984638,15317.146349584633,4.059719337148849,0
1340.8074580489224,15317.409735056057,4.062551296350434,0
1340.8282911129616,15321.187274379337,4.064442401305409,0
1340.8491241769684,15326.459799598937,4.064936792869355,0
1340.8699572411497,15307.784999277836,4.062333020116461,0
1340.890790305695,15310.525680395333,4.060736600838894,0
1340.9116233707803,15286.79143067559,4.057424825797821,0
1340.9324564365602,15282.505947639313,4.055484980876074,0
1340.9949556392746,15226.910192836105,4.044618736118173,0
1341.0157887089092,15202.839990592058,4.0435867436174835,0
1341.0366217796416,15187.801000233096,4.0432440364566995,0
1341.057454851469,15175.499033317607,4.043853579090799,0
1341.0782879243586,15158.437322337806,4.044290547671865,0
1341.0991209982487,15152.775496999477,4.0440819474706196,0
1341.1199540730527,15139.10428198153,4.043058356614338,0
1341.1407871486526,15118.222404048374,4.040465439613238,0
1341.1616202249133,14981.413924740824,4.025223457829971,0
1341.1824533016738,14240.836311433799,3.954039149452458,0
1341.2032863787533,13449.780620388941,3.87818623013385,0
1341.2241194559595,13342.013767856915,3.8659344550449086,0
1341.244952533084,13993.497587489284,3.9272224959608697,0
1341.2657856099115,14830.473839559445,4.004747293110004,0
1341.28661868622,15091.05324405706,4.026876755509326,0
1341.307451761788,15087.894827899343,4.025592948793089,0
1341.3282848363956,15080.391373297482,4.024076039837389,0
1341.3491179098296,15075.970879321925,4.0229004094047065,0
1341.3699509818857,15099.864861884407,4.024833739701532,0
1341.3907840523727,15086.890951043764,4.026120132242598,0
1341.4116171211183,15103.967986539323,4.029489038334989,0
1341.453283252791,15161.984661452392,4.0386797780827495,0
1341.4741163154793,15120.742252852517,4.037076427655622,0
1341.4949493759539,15124.17212916004,4.03858500098596,0
1341.5157824341613,15145.157319593232,4.042198728863574,0
1341.5366154900794,15129.142677182817,4.0449499012313685,0
1341.557448543711,15139.856761608246,4.047754290692391,0
